"carat","depth","table","price","x","y","z","cut"
0.79,60.7,60,3089,5.95,5.97,3.62,"Suitable"
0.71,62.7,59,2830,5.65,5.7,3.56,"Suitable"
0.72,61.1,59,2993,5.76,5.8,3.53,"Suitable"
0.75,63.9,56,3085,5.73,5.75,3.67,"Suitable"
0.6,62,55,2822,5.37,5.4,3.34,"Suitable"
0.79,62.5,57,2844,5.91,5.93,3.7,"Suitable"
0.73,62.7,58,2801,5.76,5.7,3.59,"Suitable"
0.7,62.9,57,2818,5.66,5.61,3.54,"Suitable"
0.72,62.1,54,2989,5.76,5.8,3.59,"Suitable"
0.7,62.7,59,2777,5.67,5.63,3.54,"Suitable"
0.7,61.8,55,2767,5.68,5.72,3.52,"Suitable"
0.8,60.7,59,3010,5.98,6.02,3.64,"Suitable"
0.71,62,54,2934,5.77,5.74,3.57,"Suitable"
0.7,61,57,2833,5.74,5.76,3.51,"Suitable"
0.7,60.6,60,2999,5.77,5.69,3.47,"Suitable"
0.83,61.8,57,2800,6.03,6.07,3.74,"Suitable"
0.7,61.8,58,3016,5.71,5.75,3.54,"Suitable"
0.77,62.4,54,3176,5.89,5.93,3.69,"Suitable"
0.22,59.3,62,404,3.91,3.88,2.31,"Suitable"
0.7,61.8,55,3026,5.69,5.74,3.53,"Suitable"
0.58,61.5,55,2772,5.39,5.44,3.33,"Suitable"
0.51,61.7,56,2797,5.12,5.16,3.17,"Suitable"
0.73,60.2,56,2768,5.83,5.87,3.52,"Suitable"
0.77,62.3,55,3011,5.9,5.85,3.66,"Suitable"
0.71,61.6,57,3007,5.73,5.76,3.54,"Suitable"
0.32,62,58,561,4.33,4.38,2.7,"Suitable"
0.7,60.7,60,2792,5.78,5.75,3.5,"Suitable"
0.71,62.1,54,2780,5.68,5.72,3.54,"Suitable"
0.9,60.4,58,3099,6.25,6.31,3.79,"Suitable"
0.63,61.9,57,2835,5.47,5.51,3.4,"Suitable"
0.75,60.6,55,2939,5.93,5.91,3.59,"Suitable"
0.71,60.7,54,2809,5.84,5.8,3.53,"Suitable"
0.7,62.1,55,2777,5.7,5.67,3.53,"Suitable"
0.24,62.5,57,355,3.97,3.94,2.47,"Suitable"
0.71,62.3,56,3026,5.7,5.73,3.56,"Suitable"
0.9,63.1,58,2857,6.08,6.02,3.82,"Suitable"
0.63,62.6,56,2962,5.47,5.49,3.43,"Suitable"
0.8,61.6,56,2856,5.97,6.01,3.69,"Suitable"
0.78,61.7,58,3074,5.87,5.92,3.64,"Suitable"
0.72,62.4,58,2802,5.83,5.7,3.6,"Suitable"
0.81,61.6,56,2789,5.97,6.01,3.69,"Suitable"
0.83,60,59,2825,6.08,6.05,3.64,"Suitable"
0.8,60.8,56,2939,6.02,6.01,3.66,"Suitable"
0.7,61.8,57,2929,5.68,5.71,3.52,"Suitable"
0.7,61.6,57,3127,5.69,5.73,3.52,"Suitable"
0.71,61.2,56,3146,5.74,5.79,3.53,"Suitable"
0.5,62.2,54,2889,5.08,5.12,3.17,"Suitable"
0.25,63.3,60,404,4,4.03,2.54,"Suitable"
0.74,62.7,54,2984,5.8,5.77,3.63,"Suitable"
0.71,59.1,59,2920,5.88,5.83,3.46,"Suitable"
0.7,62.1,56,2858,5.63,5.71,3.52,"Suitable"
0.7,61.2,57,3145,5.73,5.77,3.52,"Suitable"
0.9,62.8,55,3104,6.19,6.14,3.87,"Suitable"
0.73,62,57,2825,5.75,5.8,3.58,"Suitable"
0.81,61.7,58,2994,5.97,5.93,3.67,"Suitable"
0.7,62,59,2844,5.65,5.68,3.51,"Suitable"
0.7,62.6,60,2765,5.62,5.65,3.53,"Suitable"
0.8,62.7,56,3144,5.88,5.96,3.71,"Suitable"
0.7,60.5,56,2973,5.74,5.79,3.49,"Suitable"
0.7,61.4,57,2777,5.76,5.7,3.52,"Suitable"
0.73,57.7,61,2844,5.92,5.96,3.43,"Suitable"
0.7,63.3,57,3037,5.59,5.63,3.55,"Suitable"
0.61,62.3,56,2800,5.43,5.45,3.39,"Suitable"
0.81,63,60,2832,5.87,5.81,3.68,"Suitable"
0.7,63.4,56,3107,5.6,5.63,3.56,"Suitable"
0.57,61.6,56,3126,5.33,5.35,3.29,"Suitable"
0.72,62.2,57,2933,5.67,5.72,3.54,"Suitable"
0.72,61,55,2920,5.78,5.85,3.55,"Suitable"
0.7,61,59,2804,5.68,5.7,3.47,"Suitable"
0.7,60.2,60,2822,5.82,5.75,3.48,"Suitable"
0.71,61.4,56,3075,5.71,5.73,3.51,"Suitable"
0.76,63,59,3107,5.79,5.76,3.64,"Suitable"
0.36,61.9,56,556,4.54,4.57,2.82,"Suitable"
1.22,62.6,59,3156,6.79,4.24,3.76,"Suitable"
0.79,61.9,55,2771,5.97,5.92,3.68,"Suitable"
0.32,61.3,60,561,4.33,4.38,2.67,"Suitable"
0.72,62.2,56,2946,5.72,5.75,3.57,"Suitable"
0.7,62,56,2948,5.68,5.7,3.53,"Suitable"
0.72,61.1,57,2961,5.8,5.82,3.55,"Suitable"
0.72,62.7,59,2782,5.73,5.69,3.58,"Suitable"
0.71,61.4,58,2913,5.75,5.79,3.54,"Suitable"
0.25,62,56,560,4.05,4.08,2.52,"Suitable"
0.91,62.8,61,2832,6.15,6.18,3.87,"Suitable"
0.7,60.8,62,2874,5.71,5.67,3.46,"Suitable"
0.71,60.1,62,2790,5.77,5.74,3.46,"Suitable"
0.9,62.6,55,3048,6.13,6.11,3.83,"Suitable"
0.77,61.8,56,2889,5.94,5.9,3.66,"Suitable"
0.7,61.8,60,2818,5.69,5.64,3.5,"Suitable"
0.79,62.6,55,2871,5.91,5.95,3.71,"Suitable"
0.79,61.5,58,3047,5.94,5.97,3.66,"Suitable"
0.71,61.8,60,3017,5.66,5.7,3.51,"Suitable"
0.7,61.8,59,2895,5.66,5.76,3.53,"Suitable"
0.82,59.7,57,2841,6.12,6.14,3.66,"Suitable"
0.76,58.8,59,2790,6,5.94,3.51,"Suitable"
0.72,61.3,56,2960,5.77,5.81,3.55,"Suitable"
0.7,62.2,58,2826,5.66,5.6,3.5,"Suitable"
0.72,61.5,54,2804,5.77,5.8,3.56,"Suitable"
0.83,61.9,53,3049,6.08,6.04,3.75,"Suitable"
0.29,62.4,58,403,4.24,4.26,2.65,"Suitable"
0.82,63.4,55,2893,6,5.93,3.78,"Suitable"
0.21,59.8,61,326,3.89,3.84,2.31,"Suitable"
0.9,60.6,62,2830,6.21,6.13,3.74,"Suitable"
0.81,61,56,3015,5.99,6.05,3.67,"Suitable"
0.75,63.1,56,2868,5.78,5.7,3.62,"Suitable"
0.7,61.6,57,2827,5.69,5.74,3.52,"Suitable"
0.71,63.3,58,3104,5.67,5.64,3.58,"Suitable"
0.8,61.5,58,2760,5.97,5.93,3.66,"Suitable"
0.85,61.4,60,3066,6.05,6.13,3.74,"Suitable"
0.26,62.1,56,556,4.09,4.12,2.55,"Suitable"
0.8,59.9,58,2939,6.03,5.96,3.59,"Suitable"
0.7,64.5,58,2925,5.55,5.59,3.59,"Suitable"
1,62.5,62,3011,6.42,6.35,3.99,"Suitable"
0.33,61.5,61,557,4.46,4.39,2.72,"Suitable"
0.75,62.8,60,2903,5.78,5.74,3.62,"Suitable"
1.01,61.9,58,3054,6.45,6.41,3.98,"Suitable"
0.83,62.3,58,3171,5.97,6.01,3.73,"Suitable"
0.32,61.9,55,561,4.4,4.42,2.73,"Suitable"
0.73,60.7,55,3011,5.87,5.89,3.57,"Suitable"
0.65,59.9,58,3003,5.69,5.63,3.39,"Suitable"
0.82,60.9,57,2966,6.06,6.02,3.68,"Suitable"
0.7,63,56,2960,5.61,5.69,3.56,"Suitable"
0.24,62,56,559,3.97,4.01,2.47,"Suitable"
0.73,61.4,57,3089,5.74,5.79,3.54,"Suitable"
0.8,61,56,3082,6.05,5.98,3.67,"Suitable"
0.77,62.3,56,3158,5.84,5.87,3.65,"Suitable"
0.77,61.2,57,3052,5.93,5.97,3.64,"Suitable"
0.75,59.9,54,2760,6,5.96,3.58,"Suitable"
0.77,61.4,56,3066,5.9,5.93,3.63,"Suitable"
0.7,63.2,60,2777,5.6,5.51,3.51,"Suitable"
0.92,60.7,59,3165,6.34,6.25,3.82,"Suitable"
0.79,62.3,57,2898,5.9,5.85,3.66,"Suitable"
0.71,60.8,59,2913,5.7,5.74,3.48,"Suitable"
0.77,61,60,2840,5.9,5.87,3.59,"Suitable"
0.32,61.8,55,559,4.42,4.45,2.74,"Suitable"
1.01,61.1,61,3014,6.49,6.35,3.92,"Suitable"
0.77,61.5,59,2798,5.87,5.91,3.62,"Suitable"
0.71,61.3,56,2803,5.75,5.71,3.51,"Suitable"
0.71,62.7,57,2946,5.69,5.73,3.58,"Suitable"
0.7,60.2,62,2843,5.71,5.75,3.45,"Suitable"
0.7,62.2,58,2800,5.6,5.66,3.5,"Suitable"
0.83,62.3,58,2863,6.01,5.97,3.73,"Suitable"
0.34,59.6,62,556,4.54,4.56,2.71,"Suitable"
0.9,60.7,61,3084,6.22,6.16,3.76,"Suitable"
0.32,61.5,56,561,4.4,4.42,2.71,"Suitable"
0.77,61.3,57,2803,5.93,5.88,3.62,"Suitable"
0.29,61.9,55,555,4.28,4.33,2.66,"Suitable"
0.8,62.7,58,2901,5.91,5.93,3.71,"Suitable"
0.7,60.3,58,2930,5.7,5.74,3.45,"Suitable"
0.61,62.4,53.6,2907,5.42,5.45,3.39,"Suitable"
0.78,61.7,55,3015,5.9,5.94,3.65,"Suitable"
0.73,60.6,54,2803,5.84,5.89,3.55,"Suitable"
0.8,63.1,57,3135,5.94,5.89,3.73,"Suitable"
0.73,59.9,57,2770,5.92,5.89,3.54,"Suitable"
0.54,61.6,56,2776,5.25,5.27,3.24,"Suitable"
0.72,61.8,56,2776,5.72,5.75,3.55,"Suitable"
0.91,62.1,56,3096,6.26,6.21,3.87,"Suitable"
0.76,61.1,59,2847,5.93,5.88,3.61,"Suitable"
0.81,61.8,55,3004,6.04,6,3.72,"Suitable"
0.81,60.7,58,3135,6.07,5.99,3.66,"Suitable"
0.71,61.3,58,2822,5.75,5.73,3.52,"Suitable"
0.7,61.3,57,3008,5.7,5.76,3.51,"Suitable"
0.9,62.3,56,3175,6.23,6.19,3.87,"Suitable"
0.81,59.5,60,2973,6.05,6.09,3.61,"Suitable"
0.73,61.8,59,2843,5.73,5.79,3.56,"Suitable"
0.26,62.4,54,554,4.08,4.13,2.56,"Suitable"
0.41,61.7,55,561,4.77,4.8,2.95,"Suitable"
0.9,59.5,61,3139,6.24,6.3,3.73,"Suitable"
0.83,61,57,3143,6.06,6.13,3.72,"Suitable"
1.01,60.1,58,3173,6.54,6.39,3.89,"Suitable"
0.78,62.6,58,3113,5.81,5.89,3.66,"Suitable"
0.73,61.3,58,2821,5.83,5.76,3.55,"Suitable"
0.84,63.6,57,3145,5.95,6,3.8,"Suitable"
0.32,60.5,59,561,4.41,4.42,2.67,"Suitable"
0.7,62.7,58,2777,5.66,5.73,3.57,"Suitable"
0.71,61.5,55,3061,5.75,5.79,3.55,"Suitable"
0.7,60.5,60,2788,5.74,5.77,3.48,"Suitable"
0.56,61.8,55,2866,5.27,5.31,3.27,"Suitable"
0.76,62.8,57,3075,5.81,5.85,3.66,"Suitable"
0.7,60.2,60,2822,5.73,5.7,3.44,"Suitable"
0.23,60.7,59,402,3.97,4.01,2.42,"Suitable"
0.72,62.6,56,2907,5.7,5.73,3.58,"Suitable"
0.7,61.5,56,2940,5.73,5.68,3.51,"Suitable"
0.77,63.3,57,2927,5.79,5.83,3.68,"Suitable"
0.83,59.2,60,2859,6.17,6.12,3.64,"Suitable"
0.71,61.9,56,2909,5.7,5.74,3.54,"Suitable"
0.79,62.7,60,2878,5.82,5.89,3.67,"Suitable"
0.75,59.6,59,2835,6.04,5.94,3.57,"Suitable"
0.72,62,57,2843,5.71,5.74,3.55,"Suitable"
0.7,62.5,59,3018,5.68,5.61,3.53,"Suitable"
0.77,59.5,60,2939,6.01,5.95,3.56,"Suitable"
0.81,62.1,57,3050,5.97,5.91,3.69,"Suitable"
0.76,61.3,55,3050,5.87,5.93,3.62,"Suitable"
0.71,62.1,56,3167,5.72,5.84,3.59,"Suitable"
0.7,60.5,58,2947,5.76,5.81,3.5,"Suitable"
0.7,62.9,58,2803,5.63,5.65,3.55,"Suitable"
0.8,62.2,56,2834,5.94,5.87,3.67,"Suitable"
0.54,61.4,58,3139,5.28,5.25,3.23,"Suitable"
0.71,61.7,55,3041,5.73,5.77,3.55,"Suitable"
0.72,61.4,56,2998,5.79,5.81,3.56,"Suitable"
0.7,61.6,57,2998,5.7,5.73,3.52,"Suitable"
1,61.3,60,2818,6.43,6.39,3.93,"Suitable"
0.71,61.3,56,2817,5.78,5.73,3.53,"Suitable"
1.02,62.8,57,3148,6.45,6.39,4.03,"Suitable"
0.72,62.5,58,2832,5.71,5.75,3.58,"Suitable"
0.77,62.1,57,2824,5.84,5.86,3.63,"Suitable"
1.12,60.3,60,3017,6.75,6.69,4.05,"Suitable"
0.79,60.3,56,3171,5.99,6.05,3.63,"Suitable"
0.71,60.1,59,3145,5.79,5.83,3.49,"Suitable"
0.74,61.7,58,2805,5.85,5.78,3.59,"Suitable"
0.7,61.4,54,2872,5.71,5.75,3.52,"Suitable"
0.81,61.2,56,2926,6.03,6,3.68,"Suitable"
0.83,61.3,58,2990,6.03,6,3.69,"Suitable"
0.32,61.8,55,403,4.35,4.42,2.71,"Suitable"
0.7,59.4,61,2826,5.78,5.74,3.42,"Suitable"
0.82,62.6,57,2974,5.96,6.02,3.75,"Suitable"
0.7,61.6,57,2846,5.71,5.76,3.53,"Suitable"
0.72,62.5,55,2897,5.69,5.74,3.57,"Suitable"
1,62.5,59,3136,6.41,6.33,3.98,"Suitable"
0.77,61.5,56,3108,5.89,5.95,3.64,"Suitable"
0.7,59.7,59,2999,5.82,5.78,3.46,"Suitable"
0.72,60.4,56,3005,5.8,5.86,3.52,"Suitable"
0.71,61.1,57,3128,5.75,5.77,3.52,"Suitable"
0.92,58.5,57,2947,6.37,6.34,3.72,"Suitable"
0.71,62.6,56,3018,5.7,5.65,3.55,"Suitable"
0.71,60.2,56,2822,5.86,5.83,3.52,"Suitable"
1.01,62.7,59,2788,6.31,6.22,3.93,"Suitable"
0.54,61.8,56,2882,5.23,5.26,3.24,"Suitable"
0.82,61.8,55,3133,6.02,6.05,3.73,"Suitable"
0.7,60.3,60,2991,5.71,5.76,3.46,"Suitable"
0.77,58.3,63,2896,6,6.05,3.51,"Suitable"
0.74,60.9,62,2999,5.83,5.8,3.54,"Suitable"
0.81,62.3,58,2951,5.95,5.96,3.71,"Suitable"
0.8,63.1,58,3093,5.89,5.93,3.73,"Suitable"
0.87,61.7,57,3118,6.14,6.09,3.77,"Suitable"
0.9,62.6,54,3102,6.16,6.23,3.88,"Suitable"
0.7,59,59,2874,5.79,5.77,3.41,"Suitable"
0.71,60.5,56,2776,5.8,5.76,3.5,"Suitable"
0.7,61.4,56,2815,5.72,5.77,3.53,"Suitable"
0.77,60.2,56,2923,5.98,6.04,3.62,"Suitable"
0.76,61.9,55,3016,5.85,5.88,3.64,"Suitable"
0.74,61.9,56,3087,5.84,5.79,3.6,"Suitable"
0.74,62.3,57,3170,5.79,5.77,3.6,"Suitable"
1.03,61.5,57,3172,6.48,6.52,4,"Suitable"
0.78,60.9,57,3055,5.93,5.97,3.62,"Suitable"
0.32,61.9,58,561,4.36,4.43,2.72,"Suitable"
0.75,59.8,56,2840,5.85,5.92,3.52,"Suitable"
0.72,62.3,57,2831,5.7,5.76,3.57,"Suitable"
0.7,60,57,2767,5.8,5.87,3.5,"Suitable"
0.26,59.2,60,554,4.19,4.22,2.49,"Suitable"
0.7,61,56,2840,5.75,5.8,3.52,"Suitable"
0.72,60.4,61,3024,5.79,5.76,3.49,"Suitable"
0.33,63,57,557,4.39,4.37,2.76,"Suitable"
0.75,62,56,3120,5.82,5.85,3.62,"Suitable"
0.81,61.8,56,3013,6,5.97,3.7,"Suitable"
0.71,60.9,56.6,3123,5.75,5.79,3.52,"Suitable"
0.8,63.9,56,3013,5.84,5.87,3.74,"Suitable"
0.78,62.7,55,3067,5.87,5.9,3.69,"Suitable"
0.9,64.2,56,3123,6.04,6.11,3.9,"Suitable"
0.7,62.3,58,2812,5.64,5.72,3.54,"Suitable"
0.84,62.3,59,2863,6.06,6.01,3.76,"Suitable"
0.72,63,57,2795,5.72,5.7,3.6,"Suitable"
0.92,59.2,60,2968,6.4,6.35,3.76,"Suitable"
0.72,61.4,58,3137,5.75,5.78,3.54,"Suitable"
0.72,60.7,56,2776,5.79,5.82,3.53,"Suitable"
0.32,60.2,58,561,4.43,4.47,2.68,"Suitable"
0.72,62,56,2943,5.77,5.75,3.57,"Suitable"
0.62,61.9,59,3073,5.62,5.5,3.44,"Suitable"
0.72,61.7,57,2804,5.74,5.77,3.55,"Suitable"
0.79,61.5,56,2896,5.91,5.96,3.65,"Suitable"
0.71,60.8,63,2982,5.76,5.68,3.48,"Suitable"
0.76,61.3,56,2782,5.9,5.94,3.63,"Suitable"
0.7,60.4,58,2956,5.78,5.71,3.47,"Suitable"
0.62,58.1,63,3050,5.59,5.66,3.27,"Suitable"
0.82,61.3,57,3113,6.02,6.07,3.7,"Suitable"
0.78,61.7,56,2947,5.92,5.94,3.66,"Suitable"
0.75,61.2,55,2966,5.87,5.92,3.61,"Suitable"
0.72,60.4,58,3043,5.77,5.82,3.5,"Suitable"
0.74,62.3,58,2872,5.74,5.78,3.59,"Suitable"
0.8,62.8,57,2808,5.87,5.91,3.7,"Suitable"
0.77,62.2,56,2781,5.83,5.88,3.64,"Suitable"
0.83,61.8,55,3171,6.05,6.09,3.75,"Suitable"
0.75,62.6,55,3129,5.72,5.79,3.6,"Suitable"
0.71,61.3,55,2817,5.77,5.72,3.52,"Suitable"
0.75,61.9,57,2829,5.88,5.82,3.62,"Suitable"
0.32,60.7,59,561,4.4,4.43,2.68,"Suitable"
0.71,59.5,58,2918,5.82,5.87,3.48,"Suitable"
0.7,60.7,58,2762,5.73,5.76,3.49,"Suitable"
0.9,63.5,56,2826,6.17,6.07,3.88,"Suitable"
0.91,63.1,60,3007,6.13,6.1,3.86,"Suitable"
0.66,62.1,56,2851,5.54,5.57,3.45,"Suitable"
0.71,63,57,3033,5.67,5.7,3.58,"Suitable"
0.7,62.2,58,2975,5.72,5.66,3.54,"Suitable"
0.91,62.2,57,2803,6.21,6.15,3.85,"Suitable"
0.93,61.9,57,2807,6.21,6.19,3.84,"Suitable"
0.7,58,62,2773,5.87,5.78,3.38,"Suitable"
0.78,61,56,3053,5.92,5.98,3.63,"Suitable"
0.7,62.4,56,2859,5.72,5.66,3.55,"Suitable"
0.74,59.8,58,2896,5.85,5.89,3.51,"Suitable"
0.24,62.8,57,336,3.94,3.96,2.48,"Suitable"
0.78,62.1,58,3146,5.86,5.9,3.65,"Suitable"
0.7,63.2,58,2932,5.66,5.6,3.56,"Suitable"
0.96,60.7,55,2801,6.37,6.41,3.88,"Suitable"
0.82,61.7,53,2841,6,6.12,3.74,"Suitable"
0.9,58.7,60,2923,6.35,6.28,3.7,"Suitable"
0.77,60.9,58,2896,5.94,5.88,3.6,"Suitable"
0.85,61.6,55,3023,6.09,6.11,3.76,"Suitable"
0.31,60.9,60,558,4.38,4.35,2.66,"Suitable"
0.7,62.4,53,2839,5.73,5.71,3.57,"Suitable"
0.73,62.2,56,2791,5.74,5.78,3.58,"Suitable"
0.79,61,58,2868,5.96,5.9,3.62,"Suitable"
1.01,63.3,53,3088,6.35,6.31,4.01,"Suitable"
0.51,63.3,58,2925,5.03,5.08,3.2,"Suitable"
0.9,61.3,56,2800,6.17,6.23,3.8,"Suitable"
0.7,61.5,57,2980,5.67,5.78,3.52,"Suitable"
0.73,62.7,56,3077,5.75,5.8,3.62,"Suitable"
0.81,62.6,58,2972,5.96,5.9,3.71,"Suitable"
0.86,62.1,57,3121,6.1,6.07,3.78,"Suitable"
0.7,62.6,55,3167,5.66,5.69,3.55,"Suitable"
0.81,62.9,59,3084,5.95,5.84,3.71,"Suitable"
0.59,61.8,57,3026,5.35,5.4,3.32,"Suitable"
0.73,61.8,54,2839,5.8,5.82,3.59,"Suitable"
0.96,60.7,55,2826,6.41,6.37,3.88,"Suitable"
0.91,61.6,58,3112,6.23,6.28,3.85,"Suitable"
0.82,62.6,55,3131,5.94,5.98,3.73,"Suitable"
0.31,62.7,53,557,4.33,4.35,2.72,"Suitable"
0.71,60.4,57,3135,5.77,5.82,3.5,"Suitable"
0.38,61.6,56,554,4.65,4.67,2.87,"Suitable"
0.71,59.2,58,2839,5.87,5.82,3.46,"Suitable"
1.17,60.2,61,2825,6.9,6.83,4.13,"Suitable"
0.7,62.1,60,2792,5.71,5.65,3.53,"Suitable"
0.74,62.2,56,2761,5.8,5.84,3.62,"Suitable"
1.01,63.1,57,2896,6.39,6.35,4.02,"Suitable"
0.7,62.8,56,2882,5.62,5.65,3.54,"Suitable"
0.78,61.4,56,2816,5.91,5.95,3.64,"Suitable"
0.71,59.9,59,2921,5.77,5.81,3.47,"Suitable"
0.7,60.4,60,2879,5.73,5.7,3.45,"Suitable"
0.26,62.8,60,554,4.01,4.05,2.53,"Suitable"
0.71,62.6,58,2982,5.72,5.68,3.57,"Suitable"
0.74,61.6,56,2797,5.81,5.82,3.58,"Suitable"
1.01,61.5,57,2896,6.46,6.45,3.97,"Suitable"
0.73,58.7,57,2882,5.97,5.92,3.49,"Suitable"
0.61,62.1,54.2,2907,5.43,5.45,3.38,"Suitable"
0.71,60.1,60,2921,5.76,5.79,3.47,"Suitable"
0.7,63.4,57,3095,5.63,5.67,3.58,"Suitable"
0.8,61.3,57,2867,5.96,5.91,3.64,"Suitable"
0.71,62.1,53,2961,5.77,5.7,3.56,"Suitable"
0.71,62.5,55,3161,5.74,5.71,3.58,"Suitable"
0.32,62.4,58,561,4.35,4.4,2.73,"Suitable"
0.58,61.7,56,2772,5.33,5.37,3.3,"Suitable"
0.26,62.1,60,554,4.03,4.12,2.53,"Suitable"
0.72,62.1,59,3016,5.7,5.73,3.55,"Suitable"
0.9,63,58,2861,6.09,6.01,3.81,"Suitable"
0.72,61,57,2835,5.78,5.8,3.53,"Suitable"
0.84,61.2,57,2847,6.1,6.12,3.74,"Suitable"
1.06,61.5,57,2968,6.57,6.49,4.02,"Suitable"
0.31,62.6,56,559,4.33,4.37,2.72,"Suitable"
0.8,62.9,56,3070,5.88,5.95,3.72,"Suitable"
0.31,61.1,58,558,4.38,4.36,2.67,"Suitable"
1,62.8,60,3080,6.46,6.34,4.02,"Suitable"
1.22,60.9,57,2862,6.93,6.88,4.21,"Suitable"
0.32,62.1,60,561,4.34,4.39,2.71,"Suitable"
0.74,61.7,55,2810,5.81,5.85,3.6,"Suitable"
0.31,62.3,54,557,4.37,4.4,2.73,"Suitable"
0.71,60,56,3122,5.85,5.78,3.49,"Suitable"
0.79,62,55,3081,5.93,5.95,3.68,"Suitable"
0.83,61.3,57,3125,6.02,6.05,3.7,"Suitable"
0.83,63.5,54,2811,5.98,5.95,3.79,"Suitable"
0.71,61.5,57,2893,5.73,5.75,3.53,"Suitable"
0.7,60.9,57,2909,5.71,5.69,3.47,"Suitable"
0.92,60.2,61,3057,6.27,6.32,3.79,"Suitable"
0.75,59.9,61,3108,5.97,5.91,3.56,"Suitable"
0.72,62.8,57,2907,5.68,5.72,3.58,"Suitable"
0.73,62.4,53,3140,5.82,5.79,3.62,"Suitable"
0.71,61.2,59,2874,5.69,5.74,3.5,"Suitable"
0.8,62.6,59,3070,5.84,5.91,3.68,"Suitable"
0.31,59.9,60,558,4.44,4.41,2.65,"Suitable"
0.8,63.4,60,2797,5.92,5.82,3.72,"Suitable"
0.57,62.8,56,3126,5.27,5.31,3.32,"Suitable"
0.71,62.5,57,3042,5.73,5.7,3.57,"Suitable"
0.53,62.5,54,2905,5.16,5.21,3.24,"Suitable"
0.81,61.9,54,3160,5.96,5.99,3.7,"Suitable"
