"gre_score","toefl_score","uni_rating","sop","lor","sgpa","admission_chance"
321,111,3,2.5,NA,8.9,0.8
340,112,4,5,4.5,9.66,0.94
331,116,NA,4,4,9.26,0.93
NA,118,5,4.5,4,9.19,0.92
324,114,5,5,4.5,9.08,0.89
314,104,4,5,5,NA,0.82
313,109,3,4,3.5,9,0.79
307,NA,2,2.5,3,7.65,0.58
300,102,2,1.5,2,7.87,0.56
302,99,2,1,2,7.97,0.56
312,98,1,NA,3,8.18,0.64
316,101,2,2.5,2,8.32,0.61
317,100,NA,3,2.5,8.57,0.68
310,NA,3,3.5,3.5,8.67,0.76
320,120,3,4,4.5,9.11,0.86
330,114,3,4.5,4.5,0,0.9
305,112,3,3,3.5,8.65,0.71
309,106,2,2.5,2.5,8,0.62
319,108,2,2.5,3,8.76,0.66
NA,105,2,3,3,8.45,0.65
323,107,NA,3.5,3.5,NA,0.73
313,106,2,2.5,2,8.43,0.62
321,109,3,NA,3.5,NA,0.74
NA,110,3,NA,3.5,9.1,0.79
325,112,4,4,4,9,0.8
312,108,3,3.5,3,8.53,0.69
308,110,NA,3.5,NA,8.6,0.7
320,NA,3,3,3.5,-4,NA
328,108,4,NA,4,9.18,0.84
311,107,4,4.5,4.5,9,NA
301,100,3,3.5,3,8.04,NA
305,105,2,3,4,8.13,0.66
308,104,2,2.5,3,8.07,0.65
298,101,2,1.5,2,7.86,NA
300,99,1,1,2.5,8.01,NA
324,NA,3,2.5,2,8.8,0.79
327,NA,4,3.5,3,8.69,0.8
317,106,3,4,3.5,8.5,0.75
NA,104,3,4,4,8.44,0.73
314,107,NA,2.5,4,8.27,0.72
NA,102,2,2,2.5,8.18,0.62
315,104,3,3,2.5,8.33,-1
NA,116,3,3.5,4,9.14,0.81
299,100,3,2,2,8.02,0.63
295,NA,2,NA,2,7.86,NA
324,112,4,4,3.5,8.77,0.8
297,96,2,2.5,1.5,7.89,0.43
327,113,3,3.5,3,8.66,0.8
NA,105,2,3,NA,8.12,0.73
308,106,3,3.5,2.5,NA,0.75
319,108,3,3,3.5,8.54,0.71
312,107,4,4.5,4,8.65,NA
325,111,4,4,4.5,2,NA
319,NA,3,3,2.5,8.79,0.72
332,118,5,5,5,9.47,0.94
323,108,5,4,4,8.74,0.81
324,107,5,3.5,4,8.66,0.81
312,107,3,3,3,8.46,0.75
326,110,3,3.5,3.5,8.76,0.79
308,NA,3,3,3,8.24,0.58
305,103,2,2.5,3.5,8.13,0.59
295,96,2,1.5,2,7.34,0.47
316,98,1,NA,2,7.43,0.49
NA,97,2,1.5,2,7.64,0.47
299,94,1,NA,1,7.34,0.42
302,99,1,2,2,NA,0.57
313,101,3,2.5,3,8.04,NA
318,107,3,NA,3.5,8.27,NA
325,110,NA,3.5,NA,8.67,0
303,100,2,3,3.5,8.06,0.64
300,102,3,3.5,2.5,8.17,NA
297,98,2,2.5,NA,7.67,0.59
317,106,2,NA,3.5,8.12,0.73
327,109,3,3.5,4,8.77,0.79
301,104,2,3.5,3.5,7.89,0.68
314,105,2,2.5,2,7.64,0.7
321,107,NA,2,1.5,NA,0.81
322,110,3,4,5,8.64,0.85
NA,116,4,4,3.5,9.54,0.93
338,115,5,4.5,5,9.23,0.91
306,103,2,2.5,3,8.36,0.69
313,102,NA,3.5,4,8.9,0.77
330,114,4,4.5,NA,9.17,2
320,104,3,3.5,4.5,8.34,0.74
311,98,1,1,2.5,7.46,0.57
298,92,1,2,2,7.88,0.51
301,98,1,NA,3,8.03,0.67
310,103,NA,2.5,2.5,8.24,0.72
324,NA,3,3.5,3,9.22,0.89
336,NA,NA,4.5,4,9.62,0.95
321,109,3,NA,3,NA,0.79
315,105,NA,2,2.5,7.65,0.39
304,101,2,2,2.5,7.66,0.38
297,NA,2,NA,NA,NA,0.34
NA,100,1,1.5,NA,7.56,0.47
303,98,1,2,2.5,NA,0.56
311,99,1,2.5,3,8.43,0.71
NA,104,3,3.5,4,8.84,0.78
319,105,3,3,3.5,8.67,0.73
NA,110,4,4.5,4,9.15,0.82
300,100,3,3,3.5,8.26,0.62
340,NA,NA,NA,5,9.74,0.96
335,117,5,5,5,9.82,0.96
302,101,2,2.5,3.5,7.96,0.46
307,105,2,2,3.5,NA,0.53
296,97,2,1.5,2,7.8,0.49
320,108,3,3.5,4,8.44,0.76
314,102,2,2,2.5,8.24,0.64
318,106,3,2,3,8.65,0.71
326,112,4,4,3.5,NA,0.84
317,104,NA,3,3,8.76,0.77
329,111,4,4.5,4,20,0.89
324,110,3,3.5,NA,9.04,0.82
325,NA,3,3,3.5,9.11,0.84
330,116,4,5,4.5,9.45,0.91
312,103,3,3.5,4,NA,0.67
333,117,NA,5,NA,9.66,0.95
